class,common_name,scientific_name,iucn_status,inat_taxon_id,sa_observations,photo_url
Reptilia,Angulate Tortoise,Chersina angulata,Least Concern,40021,9034,https://inaturalist-open-data.s3.amazonaws.com/photos/29150263/medium.jpg
Reptilia,Cape Dwarf Chameleon,Bradypodion pumilum,Near Threatened,32954,7282,https://static.inaturalist.org/photos/1568996/medium.jpg
Reptilia,Common Dwarf Gecko,Lygodactylus capensis,Least Concern,34303,7003,https://inaturalist-open-data.s3.amazonaws.com/photos/236812866/medium.jpg
Reptilia,Leopard Tortoise,Stigmochelys pardalis,Least Concern,40092,6774,https://inaturalist-open-data.s3.amazonaws.com/photos/12902301/medium.jpg
Reptilia,Tropical House Gecko,Hemidactylus mabouia,Least Concern,68492,3846,https://inaturalist-open-data.s3.amazonaws.com/photos/148226455/medium.jpg
Reptilia,Puff Adder,Bitis arietans,Least Concern,30851,3606,https://inaturalist-open-data.s3.amazonaws.com/photos/111121355/medium.jpeg
Reptilia,Marbled Leaf-toed Gecko,Afrogecko porphyreus,Least Concern,93486,3529,https://inaturalist-open-data.s3.amazonaws.com/photos/109740679/medium.jpg
Reptilia,Nile Crocodile,Crocodylus niloticus,Least Concern,341972,3515,https://static.inaturalist.org/photos/545741360/medium.jpg
Reptilia,Southern Tree Agama,Acanthocercus atricollis,Least Concern,872122,3281,https://inaturalist-open-data.s3.amazonaws.com/photos/58597635/medium.jpg
Reptilia,Black Girdled Lizard,Cordylus niger,Least Concern,33062,3140,https://inaturalist-open-data.s3.amazonaws.com/photos/134395528/medium.jpg
Reptilia,African Striped Skink,Trachylepis striata,Least Concern,37418,2945,https://inaturalist-open-data.s3.amazonaws.com/photos/86654266/medium.jpeg
Reptilia,Flap-necked Chameleon,Chamaeleo dilepis,Least Concern,32854,2941,https://static.inaturalist.org/photos/107063651/medium.jpg
Reptilia,Cape Skink,Trachylepis capensis,Least Concern,37436,2459,https://inaturalist-open-data.s3.amazonaws.com/photos/26746658/medium.jpg
Reptilia,Speckled Rock Skink,Trachylepis punctatissima,Least Concern,114294,2403,https://inaturalist-open-data.s3.amazonaws.com/photos/19920152/medium.jpeg
Reptilia,Rainbow Skink,Trachylepis margaritifer,Least Concern,1630133,2343,https://inaturalist-open-data.s3.amazonaws.com/photos/492723440/medium.jpeg
Reptilia,Common Slug-eater,Duberria lutrix,Least Concern,30326,2238,https://inaturalist-open-data.s3.amazonaws.com/photos/262187983/medium.jpg
Reptilia,Mole Snake,Pseudaspis cana,Least Concern,28948,2216,https://inaturalist-open-data.s3.amazonaws.com/photos/28317649/medium.jpeg
Reptilia,Nile Monitor,Varanus niloticus,Least Concern,71085,2196,https://inaturalist-open-data.s3.amazonaws.com/photos/144153390/medium.jpg
Reptilia,Boomslang,Dispholidus typus,Least Concern,30358,1968,https://static.inaturalist.org/photos/207036790/medium.jpg
Reptilia,Cape House Snake,Boaedon capensis,Least Concern,539396,1876,https://inaturalist-open-data.s3.amazonaws.com/photos/32982239/medium.jpeg
Reptilia,Cape Terrapin,Pelomedusa galeata,Least Concern,560427,1625,https://inaturalist-open-data.s3.amazonaws.com/photos/21457131/medium.jpeg
Reptilia,Red-lipped Snake,Crotaphopeltis hotamboeia,Least Concern,82808,1610,https://inaturalist-open-data.s3.amazonaws.com/photos/28996828/medium.jpeg
Reptilia,Knysna Dwarf Chameleon,Bradypodion damaranum,Least Concern,32972,1583,https://inaturalist-open-data.s3.amazonaws.com/photos/1957488/medium.jpg
Reptilia,Serrated Hinged Terrapin,Pelusios sinuatus,Least Concern,40126,1574,https://inaturalist-open-data.s3.amazonaws.com/photos/12902672/medium.jpg
Reptilia,Parrot-beaked Tortoise,Homopus areolatus,Least Concern,102930,1572,https://inaturalist-open-data.s3.amazonaws.com/photos/6309489/medium.jpg
Reptilia,Cape Girdled Lizard,Cordylus cordylus,Least Concern,33027,1543,https://inaturalist-open-data.s3.amazonaws.com/photos/110491390/medium.jpeg
Reptilia,Rhombic Skaapsteker,Psammophylax rhombeatus,Least Concern,28954,1491,https://inaturalist-open-data.s3.amazonaws.com/photos/11192773/medium.jpeg
Reptilia,Rock Monitor,Varanus albigularis,Least Concern,39420,1361,https://inaturalist-open-data.s3.amazonaws.com/photos/15787473/medium.jpg
Reptilia,Red-sided Skink,Trachylepis homalocephala,Least Concern,37431,1358,https://inaturalist-open-data.s3.amazonaws.com/photos/11625812/medium.jpeg
Reptilia,Cape Cobra,Naja nivea,Least Concern,30487,1355,https://inaturalist-open-data.s3.amazonaws.com/photos/196270053/medium.jpg
Reptilia,Common Brown Water Snake,Lycodonomorphus rufulus,Least Concern,29536,1348,https://static.inaturalist.org/photos/52748143/medium.jpg
Reptilia,Bibron's Thick-toed Gecko,Chondrodactylus bibronii,Least Concern,34156,1249,https://static.inaturalist.org/photos/466190738/medium.jpg
Reptilia,Variable Skink,Trachylepis varia,Least Concern,37415,1142,https://inaturalist-open-data.s3.amazonaws.com/photos/11496079/medium.jpeg
Reptilia,Egg-eating Snake,Dasypeltis scabra,Least Concern,26717,1139,https://static.inaturalist.org/photos/96741002/medium.jpg
Reptilia,Spotted Bush Snake,Philothamnus semivariegatus,Least Concern,29073,1116,https://inaturalist-open-data.s3.amazonaws.com/photos/55873349/medium.jpg
Reptilia,Western Rock Skink,Trachylepis sulcata,Least Concern,37416,1014,https://inaturalist-open-data.s3.amazonaws.com/photos/1345506/medium.jpg
Reptilia,Rhombic Night Adder,Causus rhombeatus,Least Concern,30820,998,https://inaturalist-open-data.s3.amazonaws.com/photos/180223995/medium.jpg
Reptilia,Cape Legless Skink,Acontias meleagris,Least Concern,37301,897,https://static.inaturalist.org/photos/96963997/medium.jpg
Reptilia,Ground Agama,Agama aculeata,Least Concern,68556,881,https://inaturalist-open-data.s3.amazonaws.com/photos/29307611/medium.jpeg
Reptilia,Karoo Girdled Lizard,Karusasaurus polyzonus,Least Concern,33061,853,https://inaturalist-open-data.s3.amazonaws.com/photos/214591252/medium.jpg
Reptilia,Cradock Thick-toed Gecko,Pachydactylus geitje,Least Concern,34148,796,https://inaturalist-open-data.s3.amazonaws.com/photos/14146982/medium.jpg
Reptilia,Cape Crag Lizard,Pseudocordylus microlepidotus,Least Concern,33038,784,https://inaturalist-open-data.s3.amazonaws.com/photos/116324341/medium.jpg
Reptilia,Spotted Sand Lizard,Pedioplanis lineoocellata,Least Concern,35738,775,https://static.inaturalist.org/photos/97710192/medium.jpg
Reptilia,Olive House Snake,Elaiophis inornatus,Least Concern,1649495,766,https://static.inaturalist.org/photos/96756353/medium.jpg
Reptilia,Southern African Python,Python natalensis,Least Concern,111451,723,https://inaturalist-open-data.s3.amazonaws.com/photos/116077733/medium.jpeg
Reptilia,Turner's Thick-toed Gecko,Chondrodactylus turneri,Least Concern,34161,694,https://inaturalist-open-data.s3.amazonaws.com/photos/12713803/medium.jpeg
Reptilia,Common Giant Plated Lizard,Matobosaurus validus,Least Concern,539980,674,https://inaturalist-open-data.s3.amazonaws.com/photos/32907302/medium.jpeg
Reptilia,Cross-marked Sand Snake,Psammophis crucifer,Least Concern,28985,653,https://inaturalist-open-data.s3.amazonaws.com/photos/11286094/medium.jpeg
Reptilia,Variegated Skink,Trachylepis variegata,Least Concern,114297,627,https://inaturalist-open-data.s3.amazonaws.com/photos/119306945/medium.jpeg
